"EntrezID","Symbol","Description","P value"
"4640","MYO1A","myosin IA",1.59913526864841e-10
"114614","MIR155HG","MIR155 host gene",6.71459221557313e-09
"5816","PVALB","parvalbumin",1.55379802357913e-08
"10672","GNA13","G protein subunit alpha 13",2.37518579249141e-08
"100505622","AC010247.1","NULL",2.47946052578385e-08
"116985","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",3.21042450401876e-08
"144110","TMEM86A","transmembrane protein 86A",3.98763769782207e-08
"107075116","MIR3142HG","MIR3142 host gene",4.72069490164984e-08
"1200","TPP1","tripeptidyl peptidase 1",6.10216324137269e-08
"101928489","AL590428.1","NULL",6.91274716357881e-08
"497189","TIFAB","TIFA inhibitor",6.97439099806019e-08
"391","RHOG","ras homolog family member G",8.80560260263508e-08
"4615","MYD88","myeloid differentiation primary response 88",1.02187156625355e-07
"6810","STX4","syntaxin 4",1.0438399877799e-07
"2911","GRM1","glutamate metabotropic receptor 1",1.08003201715334e-07
"54978","SLC35F6","solute carrier family 35 member F6",1.08464381809448e-07
"4286","MITF","melanogenesis associated transcription factor",1.1198355642783e-07
"7185","TRAF1","TNF receptor associated factor 1",1.12691002751575e-07
"100144748","KLLN","killin, p53-regulated DNA replication inhibitor",1.24465036277499e-07
"6913","TBX15","T-box 15",1.3703815970878e-07
"414196","CELF2-AS1","CELF2 antisense RNA 1",1.43294425325458e-07
"8522","GAS7","growth arrest specific 7",1.4506785439572e-07
"102465451","MIR6753","microRNA 6753",1.63660640373209e-07
"5538","PPT1","palmitoyl-protein thioesterase 1",1.70795867671103e-07
"79567","RIPOR1","RHO family interacting cell polarization regulator 1",1.83926942787238e-07
"8303","SNN","stannin",1.86406494795399e-07
"55604","CARMIL1","capping protein regulator and myosin 1 linker 1",1.9160406694585e-07
"566","AZU1","azurocidin 1",1.98854375077495e-07
"105372840","LINC01694","long intergenic non-protein coding RNA 1694",2.00152167284529e-07
"193629","LINC00189","long intergenic non-protein coding RNA 189",2.18316200895075e-07
"10156","RASA4","RAS p21 protein activator 4",2.23560856937866e-07
"83937","RASSF4","Ras association domain family member 4",2.25646299645277e-07
"340061","TMEM173","transmembrane protein 173",2.28890595810327e-07
"128989","TANGO2","transport and golgi organization 2 homolog",2.51314197674546e-07
"144811","LACC1","laccase domain containing 1",2.60428925202838e-07
"79572","ATP13A3","ATPase 13A3",2.62215363644458e-07
"145389","SLC38A6","solute carrier family 38 member 6",2.6438425937414e-07
"80262","C16orf70","chromosome 16 open reading frame 70",2.82032091014628e-07
"643418","LIPN","lipase family member N",3.01242713440786e-07
"55454","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",3.26589112198405e-07
"155400","NSUN5P1","NOP2/Sun RNA methyltransferase family member 5 pseudogene 1",3.28570073371282e-07
"6336","SCN10A","sodium voltage-gated channel alpha subunit 10",3.37554484031166e-07
"5525","PPP2R5A","protein phosphatase 2 regulatory subunit B'alpha",3.71007787935973e-07
"10206","TRIM13","tripartite motif containing 13",4.69371410738439e-07
"55589","BMP2K","BMP2 inducible kinase",4.80145557091305e-07
"89849","ATG16L2","autophagy related 16 like 2",4.81525715079201e-07
"55577","NAGK","N-acetylglucosamine kinase",4.92094058390791e-07
"50650","ARHGEF3","Rho guanine nucleotide exchange factor 3",5.01766696525685e-07
"10402","ST3GAL6","ST3 beta-galactoside alpha-2,3-sialyltransferase 6",5.05364814440412e-07
"220929","ZNF438","zinc finger protein 438",5.08352127837064e-07
"25981","DNAH1","dynein axonemal heavy chain 1",5.15047702598359e-07
"23312","DMXL2","Dmx like 2",5.22697391036608e-07
"26524","LATS2","large tumor suppressor kinase 2",5.31886909627133e-07
"114793","FMNL2","formin like 2",5.36609786938591e-07
"6772","STAT1","signal transducer and activator of transcription 1",5.60080370970439e-07
"64499","TPSB2","tryptase beta 2 (gene/pseudogene)",5.79430047165097e-07
"23499","MACF1","microtubule-actin crosslinking factor 1",5.83731770253948e-07
"54982","CLN6","CLN6, transmembrane ER protein",5.87514533356703e-07
"49861","CLDN20","claudin 20",6.23643568786747e-07
"1996","ELAVL4","ELAV like RNA binding protein 4",6.27745641135213e-07
"3263","HPX","hemopexin",6.36414348220704e-07
"9668","ZNF432","zinc finger protein 432",6.37997032315596e-07
"79269","DCAF10","DDB1 and CUL4 associated factor 10",6.38866835434015e-07
"2055","CLN8","CLN8, transmembrane ER and ERGIC protein",6.4318055992274e-07
"150726","FBXO41","F-box protein 41",6.4530816035191e-07
"8754","ADAM9","ADAM metallopeptidase domain 9",6.67340241178316e-07
"83989","FAM172A","family with sequence similarity 172 member A",6.7583304863561e-07
"9726","ZNF646","zinc finger protein 646",6.84091535196885e-07
"84687","PPP1R9B","protein phosphatase 1 regulatory subunit 9B",7.00090857841396e-07
"4323","MMP14","matrix metallopeptidase 14",7.09326845482749e-07
"5028","P2RY1","purinergic receptor P2Y1",7.14346756636175e-07
"101929333","AC012435.1","NULL",7.49912412612019e-07
"64599","GIGYF1","GRB10 interacting GYF protein 1",7.51711345836625e-07
"23515","MORC3","MORC family CW-type zinc finger 3",7.59519744208959e-07
"284129","SLC26A11","solute carrier family 26 member 11",7.6630970302638e-07
"663","BNIP2","BCL2 interacting protein 2",7.76610076025364e-07
"6646","SOAT1","sterol O-acyltransferase 1",8.25729506770401e-07
"115992","RNF166","ring finger protein 166",8.30483463554188e-07
"200942","KLHDC8B","kelch domain containing 8B",8.46731446957349e-07
"23646","PLD3","phospholipase D family member 3",8.47281615756756e-07
"3779","KCNMB1","potassium calcium-activated channel subfamily M regulatory beta subunit 1",8.58680740178919e-07
"284131","ENDOV","endonuclease V",8.86281592005211e-07
"29957","SLC25A24","solute carrier family 25 member 24",9.16610697121456e-07
"9555","H2AFY","H2A histone family member Y",9.21051262259276e-07
"23603","CORO1C","coronin 1C",9.23626655158216e-07
"65220","NADK","NAD kinase",9.28569240610244e-07
"283349","RASSF3","Ras association domain family member 3",9.7355666350829e-07
"7226","TRPM2","transient receptor potential cation channel subfamily M member 2",9.83072360405401e-07
"55361","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha",1.01050877976405e-06
"10109","ARPC2","actin related protein 2/3 complex subunit 2",1.03265036133227e-06
"9540","TP53I3","tumor protein p53 inducible protein 3",1.04548704782381e-06
"84937","ZNRF1","zinc and ring finger 1",1.0604079411225e-06
"51291","GMIP","GEM interacting protein",1.0673880003198e-06
"11147","HHLA3","HERV-H LTR-associating 3",1.0739648177438e-06
"92691","TMEM169","transmembrane protein 169",1.10380098194973e-06
"388228","SBK1","SH3 domain binding kinase 1",1.12717095124282e-06
"89848","FCHSD1","FCH and double SH3 domains 1",1.1550256779902e-06
"26585","GREM1","gremlin 1, DAN family BMP antagonist",1.16315151910129e-06
"81543","LRRC3","leucine rich repeat containing 3",1.17893241979861e-06
"3858","KRT10","keratin 10",1.1884747470603e-06
"5782","PTPN12","protein tyrosine phosphatase, non-receptor type 12",1.25636551584485e-06
"56997","COQ8A","coenzyme Q8A",1.26316134874127e-06
"403341","ZBTB34","zinc finger and BTB domain containing 34",1.26713072212681e-06
"54557","SGTB","small glutamine rich tetratricopeptide repeat containing beta",1.27164826957404e-06
"9053","MAP7","microtubule associated protein 7",1.2827468285348e-06
"114885","OSBPL11","oxysterol binding protein like 11",1.33963772497303e-06
"79834","PEAK1","pseudopodium enriched atypical kinase 1",1.3537127127039e-06
"29121","CLEC2D","C-type lectin domain family 2 member D",1.36216986557081e-06
"11171","STRAP","serine/threonine kinase receptor associated protein",1.38276147632066e-06
"2355","FOSL2","FOS like 2, AP-1 transcription factor subunit",1.39311058067193e-06
"283464","GXYLT1","glucoside xylosyltransferase 1",1.40840668672038e-06
"5175","PECAM1","platelet and endothelial cell adhesion molecule 1",1.41604154357822e-06
"55340","GIMAP5","GTPase, IMAP family member 5",1.44211789954163e-06
"221178","SPATA13","spermatogenesis associated 13",1.46329003625212e-06
"55151","TMEM38B","transmembrane protein 38B",1.47545188744491e-06
"55233","MOB1A","MOB kinase activator 1A",1.47606299494285e-06
"79585","CORO7","coronin 7",1.50234973417263e-06
"101060691","NUTM2B-AS1","NUTM2B antisense RNA 1",1.59773992192136e-06
"1687","DFNA5","DFNA5, deafness associated tumor suppressor",1.60311974095606e-06
"55122","AKIRIN2","akirin 2",1.62510387491377e-06
"23307","FKBP15","FK506 binding protein 15",1.63185285573242e-06
"2176","FANCC","Fanconi anemia complementation group C",1.63728887536685e-06
"149013","NBPF12","NBPF member 12",1.64733970353659e-06
"9754","STARD8","StAR related lipid transfer domain containing 8",1.6486777654201e-06
"8793","TNFRSF10D","TNF receptor superfamily member 10d",1.65185838518767e-06
"154881","KCTD7","potassium channel tetramerization domain containing 7",1.67611772960985e-06
"55082","ARGLU1","arginine and glutamate rich 1",1.70727825554717e-06
"10824","DIAPH2-AS1","DIAPH2 antisense RNA 1",1.70839651736365e-06
"4363","ABCC1","ATP binding cassette subfamily C member 1",1.72858236613394e-06
"9654","TTLL4","tubulin tyrosine ligase like 4",1.73874365305693e-06
"7448","VTN","vitronectin",1.73884790544143e-06
"79944","L2HGDH","L-2-hydroxyglutarate dehydrogenase",1.74928032348198e-06
"23243","ANKRD28","ankyrin repeat domain 28",1.7957579157013e-06
"411","ARSB","arylsulfatase B",1.80431162477568e-06
"1089","CEACAM4","carcinoembryonic antigen related cell adhesion molecule 4",1.8110058919163e-06
"51762","RAB8B","RAB8B, member RAS oncogene family",1.8509525829824e-06
"92822","ZNF276","zinc finger protein 276",1.85140557984464e-06
"57569","ARHGAP20","Rho GTPase activating protein 20",1.86476094965471e-06
"23151","GRAMD4","GRAM domain containing 4",1.86605902929848e-06
"57580","PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",1.87901478398977e-06
"11117","EMILIN1","elastin microfibril interfacer 1",1.88439192316814e-06
"23659","PLA2G15","phospholipase A2 group XV",1.88756092078801e-06
"155185","AMZ1","archaelysin family metallopeptidase 1",1.89860456600854e-06
"54923","LIME1","Lck interacting transmembrane adaptor 1",1.91064762367077e-06
"140809","SRXN1","sulfiredoxin 1",1.93813430215961e-06
"8760","CDS2","CDP-diacylglycerol synthase 2",1.93844806339882e-06
"57826","RAP2C","RAP2C, member of RAS oncogene family",1.93845254115033e-06
"10630","PDPN","podoplanin",1.98689547392661e-06
"23415","KCNH4","potassium voltage-gated channel subfamily H member 4",2.02644081226389e-06
"5432","POLR2C","RNA polymerase II subunit C",2.02789093828315e-06
"57547","ZNF624","zinc finger protein 624",2.03729791659057e-06
"10208","USPL1","ubiquitin specific peptidase like 1",2.03960104538936e-06
"7293","TNFRSF4","TNF receptor superfamily member 4",2.05487831039797e-06
"326342","ADGRE4P","adhesion G protein-coupled receptor E4, pseudogene",2.06346960696102e-06
"81844","TRIM56","tripartite motif containing 56",2.09815131047009e-06
"80853","KDM7A","lysine demethylase 7A",2.09952456819984e-06
"170954","PPP1R18","protein phosphatase 1 regulatory subunit 18",2.09978264797961e-06
"51660","MPC1","mitochondrial pyruvate carrier 1",2.11634651869907e-06
"4209","MEF2D","myocyte enhancer factor 2D",2.11981775133374e-06
"201283","AMZ2P1","archaelysin family metallopeptidase 2 pseudogene 1",2.12810603450464e-06
"5937","RBMS1","RNA binding motif single stranded interacting protein 1",2.12822015277503e-06
"4155","MBP","myelin basic protein",2.20387258131893e-06
"2548","GAA","glucosidase alpha, acid",2.21236907871347e-06
"3930","LBR","lamin B receptor",2.21498541319587e-06
"29082","CHMP4A","charged multivesicular body protein 4A",2.23536585841622e-06
