"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","Genes"
"GO:0042776",1.92462927644044e-10,5.21991739245909,23.5722090392362,49,66,"proton motive force-driven mitochondrial ATP synthesis","ATP5MG, ATPSCKMT, STOML2, ATP6, ATP8, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA5, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5PB, ATP5ME, ATP5PF, ATP5PO, NDUFB11, NDUFA12, DNAJC30"
"GO:0006120",9.10980846972358e-08,4.77849927849928,18.2148888030462,37,51,"mitochondrial electron transport, NADH to ubiquinone","PARK7, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, COQ9, PINK1"
"GO:0006413",4.54445368287937e-06,4.61587427889397,13.8928987194412,28,39,"translational initiation","EIF3M, COPS5, MTFMT, EIF2D, EIF1AX, EIF2S3, EIF4A1, EIF4E, MTIF3, LTO1, MCTS1, EIF4E3, EIF3L, ABCE1, RPS3, RPS3A, RPS5, RPS17, SLBP, EIF2A, EIF1AD, DENR, EIF3A, EIF3D, EIF3F, EIF3G, EIF3I, EIF2B3"
"GO:0032728",4.81648845677951e-06,4.59714463066418,13.9290326140941,28,39,"positive regulation of interferon-beta production","FLOT1, POLR3C, POLR3A, TICAM1, DDX3X, DHX9, RIGI, ZBTB20, TBK1, HMGB2, HSP90AA1, IRF1, IRF3, IRF5, IRF7, OAS1, OAS2, OAS3, POLR3B, MAVS, PTPN11, POLR3D, TLR2, TLR4, DHX58, TRIM56, ISG15, TOMM70"
"GO:0032981",1.31493021651113e-07,4.11955113253512,21.0721262623476,41,59,"mitochondrial respiratory chain complex I assembly","NDUFAF6, NDUFAF8, ACAD9, TIMM21, ND1, ND2, ND4, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA5, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS4, NDUFS5, NDUFS8, ECSIT, NDUFB11, NDUFA12, BCS1L, TAFAZZIN, NDUFAF5, NUBPL, DMAC1, NDUFAF2"
"GO:0006890",1.81590874128332e-06,3.82729499506453,18.9291981678715,36,53,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","ATP9A, KIF1C, LMAN2, KDELR2, KDELR3, TMEM115, RER1, COPE, COPA, COPZ1, SCFD1, BICD2, COG4, ARCN1, ATP9B, ARF3, ARF4, ARF5, BET1L, ERGIC2, RAB6B, ERGIC3, STX18, GOLPH3L, USE1, SCYL1, RAB6A, RINT1, GOLPH3, BNIP1, TAPBP, COG3, PLPP3, ZW10, COG7, COPB2"
"GO:0070534",1.92122364099049e-06,3.61516941249611,20.3578168975222,38,57,"protein K63-linked ubiquitination","STUB1, ARIH2, UBE2E3, TRAF3IP2, DDX3X, RNF168, RNF152, SASH1, HECTD1, UBE2S, PRPF19, UBE2T, BIRC2, PRKN, BFAR, UBR5, RNF126, PELI1, RNF213, TRIM27, RNF5, UBE2O, TRIM21, TRAF1, TRAF2, TRAF3, TRAF5, TRAF6, UBE2E2, UBE2G1, UBE2V1, UBE2V2, OTUB2, ZFP91, TRIM56, TRIM5, RNF8, PLAA"
"GO:0043038",2.32248154693724e-05,3.61192176342751,16.0719607085702,30,45,"amino acid activation","FARSB, WARS2, FARS2, TARS3, EARS2, EPRS1, FARSA, HARS2, PARS2, HARS1, IARS1, KARS1, YARS2, LARS1, GATB, DARS2, QRSL1, IARS2, RARS2, LRRC47, AARS2, QARS1, RARS1, SARS1, TARS1, WARS1, CARS2, TARS2, CARS1, YARS1"
"GO:0007595",4.34770992569819e-05,3.61111111111111,15.0004966613322,28,42,"lactation","GPAT4, CREB1, CSN2, CSN3, SLC29A1, HIF1A, HK2, SLC29A2, APRT, COX2, MTX1, NME1, OAS2, PAM, ZBTB7B, ATP7A, ATP7B, PRLR, RPLP0, STAT5A, STAT5B, USF2, VDR, VEGFA, XBP1, XDH, DDR1, NCOR2"
"GO:0002753",3.65582874479131e-06,3.35688747751549,21.4292809447602,39,60,"cytoplasmic pattern recognition receptor signaling pathway","SLC15A4, LACC1, CYLD, PUM2, RIGI, TKFC, ANKRD17, NOP53, BIRC2, BIRC3, HSPA1A, HSPA1B, IRF3, IRF7, NFKBIA, OAS3, SLC15A3, PHB1, RNF125, DDX60, NPLOC4, ERBIN, MAP2K6, RELA, GPATCH3, SEC14L1, SLC15A2, C1QBP, TLR4, TSPAN6, TNFAIP3, TRAF6, UFD1, DHX58, NLRX1, ALPK1, CLPB, ZCCHC3, OTULIN"
"GO:0030866",0.000153962951198221,3.35213421390896,14.2861872965068,26,40,"cortical actin cytoskeleton organization","PDCD6IP, CDK5, NCKAP1, AKAP11, FMNL2, DLG1, EPB41L1, EPB41L2, EPB41L3, RHOQ, VPS4A, FHOD1, IKBKB, LCP1, LLGL2, LLGL1, PLEC, PLS1, RAB13, ROCK1, RTKN, TLN1, EZR, FHOD3, STRIP1, FMNL3"
"GO:0031397",8.99242998798429e-08,3.25867871611094,30.0009933226643,54,84,"negative regulation of protein ubiquitination","CDK5, SPRY2, MAD2L2, IVNS1ABP, GLMN, CHP1, PARK7, CRY1, DTX3L, SH3RF2, AKT1, MINAR1, UFL1, FBXO5, HSPA1A, HSPA1B, SPOPL, SVBP, LIMK1, MAD2L1, ARRB2, VPS28, UBR5, SIRT7, TRIM44, PPIA, PRKCE, HDAC8, PSEN1, ADGRB1, SENP2, RPL5, RPL11, RPL37, RPS3, RPS7, RPS15, RPS20, NXN, MARCHF7, TSPO, TNFAIP3, USP4, OTUB2, USP44, PER2, SQSTM1, RPL23, PLAA, ATG5, BAG5, BAG2, ISG15, CDC20"
"GO:0042773",1.41137273648749e-08,3.20957432583018,34.644004194029,62,97,"ATP synthesis coupled electron transport","PARK7, COX5B, COX6C, COX7A2, COX7B, COX8A, COX15, DGUOK, GHITM, UQCRQ, UQCR10, UQCRHL, COX1, COX2, COX3, CYTB, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, CHCHD2, CYCS, NDUFA12, COQ9, BID, PINK1, TAFAZZIN, UQCRB, UQCRFS1, UQCRH, UQCC3, COX7A2L"
"GO:1903573",0.000149207361071035,3.15917908131595,15.7148060261575,28,44,"negative regulation of response to endoplasmic reticulum stress","NR1H3, LPCAT3, ABCA7, RACK1, CREB3, PARK7, CLU, ATF6B, UFL1, PPP1R15A, ALOX5, SVIP, GRINA, USP25, HSPA1A, NCK1, OPA1, PRKN, TXNDC12, BFAR, PTPN1, BCL2L1, SGTA, NR1H2, WFS1, XBP1, NCK2, USP14"
"GO:0070936",3.46425004282332e-06,3.10985845388085,24.2865184040616,43,68,"protein K48-linked ubiquitination","TOPORS, MARCHF6, ARIH2, TRIM38, UBE2E3, RFFL, RNF187, DTX3L, RNF152, ZNRF2, TRIM32, NEDD4L, KLHL3, AMFR, UBE2T, UBE2K, BIRC2, PRKN, BFAR, UBR5, RNF216, TRIM44, PPIA, UBE2R2, RNF126, PELI1, RNF5, SKP1, TNFAIP3, TTC3, UBE2A, UBE2D1, UBE2E1, UBE2E2, UBE2G1, UBE2G2, UBE2H, RNF34, RNF146, CUL3, ZNRF1, KBTBD6, RNF8"
"GO:1903078",2.16713900172826e-05,3.03877233877234,21.0721262623476,37,59,"positive regulation of protein localization to plasma membrane","RACK1, CIB1, AGR2, SORBS1, RER1, CLN3, CNST, DLG1, EGFR, EPHA2, AKT1, STAC3, ZDHHC5, ATP2C1, ARHGEF16, ZDHHC8, STAC2, ITGA3, ITGB1, KIF5B, RHOG, LGALS3, LRP1, ATP2B4, PIK3R1, PLS1, PRKCE, PRKCI, PRNP, WNK3, SPTBN1, STAC, STX3, STX4, EZR, PPP1R9B, SQSTM1"
"GO:0016236",1.77901344905006e-05,3.0152239444295,21.6489058039962,38,61,"macroautophagy","HUWE1, SNF8, WDR81, VTI1A, VPS37D, RETREG3, PGAM5, WDFY3, VPS39, UFL1, GAA, KLHL3, VPS41, LGALS8, NBR1, PRKN, VPS36, VPS28, UFC1, VTA1, RETREG1, TOMM7, AUP1, VPS37C, ARL8B, YOD1, RNF213, MTMR14, SRC, TAFAZZIN, VPS37B, UBA5, UBXN6, VPS25, SQSTM1, MVB12A, PLAA, EI24"
"GO:0140467",0.000502412884861156,3.00760043431053,14.2861872965068,25,40,"integrated stress response signaling","ABCA7, CREB3, CEBPB, CEBPD, CEBPG, AGR2, TMED2, BATF2, DDIT3, EIF2S1, PPP1R15A, EIF2AK1, JUNB, MAF, ATF4, NCK1, NFE2L2, TMEM33, IMPACT, BATF3, PTPN1, PTPN2, CREBZF, BOK, NCK2"
"GO:1903747",0.000135827239164875,2.94601197917943,17.8577341206335,31,50,"regulation of establishment of protein localization to mitochondrion","HUWE1, ARIH2, HAX1, UBE2J2, BBC3, HSPA1L, LMAN1, MAPT, NMT1, PRKN, SH3GLB1, TOMM7, LEPROT, PARL, VPS11, MAPK8, USP36, RHOU, RAC2, PINK1, BNIP3L, SREBF1, SREBF2, UBE2L3, FZD5, MICALL2, BAP1, HPS4, ATP5IF1, NPEPPS, ATG13"
"GO:0007033",2.20451454153039e-07,2.89700568766313,34.2144959733407,59,96,"vacuole organization","ATP6AP2, LYST, TPP1, CLN5, ATF2, TMEM199, CLN8, EXT1, TPCN2, MTOR, TMEM9, GAA, MFSD8, VPS33B, VPS4A, CHMP2A, GRN, HOOK2, ANXA2, HEXA, HEXB, HPS1, ARSB, MAN2A1, RNASEK, NAGLU, P2RX7, NAGPA, HOOK1, CHMP5, ATP6V1H, CHMP3, ATP6V1A, ACP2, ATP6V0B, ATP6V0A1, ATP6AP1, CLN6, LAMTOR1, ARL8B, LAPTM4B, PPT1, VPS35, VPS11, TMEM165, CHMP1B, VPS18, AKTIP, VPS16, VPS33A, LAPTM5, TFEB, ZKSCAN3, RAB34, CCDC115, HPS4, SYT7, CHMP4C, ATP6V1F"
"GO:1903533",2.95591941841041e-06,2.89389788293898,27.8580652281883,48,78,"regulation of protein targeting","HUWE1, CDK5, ARIH2, HAX1, CIB1, CHP1, UBE2J2, MIEF2, DMTN, STOM, ERBB2, AKT2, GDI1, TCAF2, ANK3, HRAS, HSPA1L, ITGB2, LMAN1, MYO1C, PRKN, FIS1, SH3GLB1, INPP5K, TOMM7, LEPROT, PARL, VPS11, PRNP, MFF, USP36, RHOU, RAC2, PINK1, SLC1A1, BNIP3L, SREBF1, SREBF2, UBE2L3, FZD5, MICALL2, BAP1, HPS4, ITGB1BP1, ATP5IF1, NPEPPS, TCAF1, ATG13"
"GO:0032007",0.000228342298282987,2.79847073435802,18.2148888030462,31,51,"negative regulation of TOR signaling","PDCD6, NPRL2, TNFAIP8L1, SESN3, BMT2, UBR1, FLCN, ENDOG, RNF152, MINAR1, SIRT1, SH3BP4, RNF167, SESN1, HIF1A, BMAL1, TBC1D7, MIOS, PRKAA2, TMEM127, SEC13, DEPTOR, TSC1, TSC2, EPM2A, WDR59, NPRL3, WDR24, AKT1S1, MAPKAPK5, FNIP1"
"GO:0007032",4.60774641771859e-06,2.7721975366386,28.911636383719,49,81,"endosome organization","PDCD6IP, TOM1, ARFGEF2, SNF8, EXOC8, PHETA2, VPS37D, TMCC1, DNAJC13, WASHC4, CORO1C, SNX33, ALS2CL, VPS33B, VPS4A, CHMP2A, SNX10, HOOK2, PRKN, VPS36, VPS28, UBAP1, HOOK1, CHMP5, VTA1, CHMP3, LAMTOR1, VPS37C, LAPTM4B, PI4K2A, TMEM127, VPS11, CHMP1B, VPS18, ALS2, RAB5B, RAB27A, AKTIP, TSG101, RAB7A, VPS37B, EEA1, VPS25, RAB11A, SQSTM1, USP8, CHMP4C, MVB12A, IST1"
"GO:0009394",0.000808750653271221,2.75986932160391,15.3576513437448,26,43,"2'-deoxyribonucleotide metabolic process","ADA, CMPK2, NUDT16, ADK, DCK, DGUOK, DPYD, DUT, TYMP, AK9, NT5C2, SMUG1, SAMHD1, AK5, GUK1, NT5C, PNP, NTHL1, RRM2B, NUDT15, RRM1, SHMT1, UNG, UPP1, XDH, TBPL1"
"GO:1901184",8.06919494940992e-06,2.71256226650062,28.5723745930136,48,80,"regulation of ERBB signaling pathway","AGR2, NEU3, SOCS4, ADORA1, DAB2IP, HBEGF, DUSP3, EGF, EGFR, CBLC, NUP62, IFI6, HIP1, RBPJ, ITGA1, PLAUR, RNF126, CCDC88A, LGMN, PSEN1, RTN4, PTK6, PTPN2, ZFYVE28, PTPN12, PTPRJ, SNX6, RALA, RALB, CEACAM1, RHBDF1, BTC, TSG101, RAB7A, SH3TC2, RHBDF2, BCAR3, VPS25, ZGPAT, AFAP1L2, DGKD, CBL, CBLB, MVB12B, HIP1R, CNOT9, SHKBP1, MVB12A"
"GO:0042273",0.000386892924987731,2.71241830065359,17.8381962864721,30,50,"ribosomal large subunit biogenesis","NSA2, EBNA1BP2, RPL35, MALSU1, SPATA5, LTO1, NOC2L, RSL1D1, RPL7L1, GTF3A, RPL10A, SNU13, RPL26L1, NIP7, CINP, ZNHIT6, PAK1IP1, HEATR3, SDAD1, TMA16, NHP2, RPL7, RPL7A, RPL26, RPL35A, MRPL1, SURF6, LAS1L, NIFK, RPL14"
"GO:0051496",0.000372935385343127,2.66498103666245,18.5720434854589,31,52,"positive regulation of stress fiber assembly","SORBS3, RAPGEF3, FERMT2, EPHA1, LIMCH1, MTOR, FHOD1, RHOA, RHOC, LIMK1, NF2, PAK1, EVL, PFN2, SERPINF2, ARHGEF10L, CARMIL1, CCDC88A, PXN, S100A10, SFRP1, BRAF, TGFB3, TGFBR1, TPM1, TSC1, ARHGEF5, NRP1, ITGB1BP1, PPM1F, CDC42"
"GO:0071470",0.000719976230167195,2.65967525891078,16.7862700733955,28,47,"cellular response to osmotic stress","MICU1, NFAT5, CLN3, DDX3X, FBP1, MTOR, PYCARD, CAB39, SERPINB6, PKD2, LRRC8D, BAD, RPTOR, RELB, SCN2A, MLST8, WNK3, ZFP36L1, TSPO, XRCC5, SLC25A23, EFHD1, CASP1, LRRC8C, YBX3, ARHGEF2, OXSR1, SLC12A6"
