"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","Genes"
"GO:1903146",2.92564348234239e-07,27.0410452360409,10.3327258670201,22,23,"regulation of autophagy of mitochondrion","HDAC6, DNM1L, RNF41, HAX1, CSNK2A2, CTTN, ATP13A2, HTRA2, VPS13C, FBXW7, PARL, TIGAR, USP36, PINK1, BNIP3L, SREBF1, SREBF2, TSPO, TP53, TSC2, FZD5, USP30"
"GO:0032509",2.931739436181e-07,27.0362426035503,10.3337384003535,22,23,"endosome transport via multivesicular body sorting pathway","SNF8, VPS37A, VPS37D, LEPROTL1, TMEM50A, PTPN23, DENND10, VPS36, VPS28, UBAP1, VTA1, LEPROT, VPS37C, LAPTM4B, SORT1, TSG101, TMEM50B, VPS37B, STAM, RILP, VPS25, HGS"
"GO:0006991",1.28411566754011e-05,20.8584081682864,8.09160642348656,17,18,"response to sterol depletion","LPCAT3, ERLIN1, TMED2, ERLIN2, SCAP, AMFR, INSIG1, LYN, ZBTB7B, INSIG2, ARHGEF10L, FBXW7, SREBF1, SREBF2, SPRING1, EIF2A, PIP4P1"
"GO:0070131",5.69036813538304e-05,18.399950805559,7.19253904309917,15,16,"positive regulation of mitochondrial translation","FASTKD2, MRPS27, TRUB2, RPUSD3, COA3, CDK5RAP1, TRMT10C, RMND1, C1QBP, FASTKD3, METTL8, RCC1L, UQCC2, MPV17L2, RPUSD4"
"GO:0071025",5.69036813538304e-05,18.399950805559,7.19253904309917,15,16,"RNA surveillance","EXOSC8, EXOSC6, DXO, EXOSC7, ZC3H4, EXOSC2, EXOSC3, PELO, EXOSC9, EXOSC10, XRN1, EXOSC4, SUPV3L1, WDR82, ZCCHC7"
"GO:0070584",3.49479759589634e-05,11.042937992126,8.99067380387396,18,20,"mitochondrion morphogenesis","DNM1L, CERT1, POLG2, POLDIP2, FIS1, PLEC, PID1, MFF, BAX, BCL2L1, SSBP1, SUPV3L1, MYH14, PANK2, NUBPL, SLIRP, PNPT1, WASF1"
"GO:0035970",0.00014094778987995,9.81353013530135,8.09160642348656,16,18,"peptidyl-threonine dephosphorylation","DUSP10, DUSP18, PPM1K, DUSP1, DUSP5, PGAM5, PDP1, PPM1A, PPM1B, PPM1G, PPP1CA, PPP2CA, PPP2CB, PPP5C, PPM1D, PPM1F"
"GO:0035269",0.000280617088771595,9.19905300701021,7.64207273329286,15,17,"protein O-linked mannosylation","RXYLT1, POMT1, B4GAT1, LARGE2, TMTC2, TMTC3, POMT2, DPM3, CRPPA, FKRP, POMGNT2, TMTC4, DPM1, DPM2, LARGE1"
"GO:0060382",0.000280617088771595,9.19905300701021,7.64207273329286,15,17,"regulation of DNA strand elongation","RUVBL2, INO80C, POT1, INO80E, TFPT, NFRKB, UCHL5, INO80, INO80D, NUCKS1, YY1, ACTR5, ACTL6A, RUVBL1, ACTR8"
"GO:1902018",0.000280617088771595,9.19905300701021,7.64207273329286,15,17,"negative regulation of cilium assembly","MPHOSPH9, YAP1, EVI5L, DNM2, TBC1D30, GDI2, LIMK2, MAP4, TBC1D7, ODF2L, TESK1, CEP97, TCHP, CDK10, CCP110"
"GO:0007041",9.24972850155033e-06,7.40501614104793,12.550438353124,24,28,"lysosomal transport","CLN3, HGSNAT, AP1G1, ATP13A2, GRN, HSPA1A, IGF2R, LAMP1, LRP1, ARSB, NPC1, PRKN, SPTBN5, ANKFY1, TMEM106B, VPS53, CCDC91, USE1, PSAP, ALS2, VPS52, RBSN, PINK1, VPS51"
"GO:0007042",0.000141009739951478,7.36122047244094,9.44020749406766,18,21,"lysosomal lumen acidification","ATP6AP2, TCIRG1, CLN3, CLN5, TMEM199, TMEM9, GRN, RNASEK, ATP6V1H, ATP6V1A, ATP6V0B, ATP6V0A1, ATP6AP1, TMEM106B, CLN6, PPT1, CCDC115, ATP6V1F"
"GO:1903955",4.90451440598976e-06,6.63111220593669,14.3850780861983,27,32,"positive regulation of protein targeting to mitochondrion","SAE1, HUWE1, ARIH2, UBE2J2, CSNK2A2, HTRA2, HSPA1L, SH3GLB1, TOMM7, LEPROT, RNF31, FBXW7, PRKAA1, VPS11, USP36, RHOU, RAC2, UBL5, PINK1, SREBF2, UBE2D3, UBE2L3, FZD5, MICALL2, HPS4, NPEPPS, ATG13"
"GO:0072655",0.00048953284742298,6.58932637767565,8.50713215296664,16,19,"establishment of protein localization to mitochondrion","DDIT3, AKT1, BBC3, COX18, HK1, HK2, DNAJA1, MAPT, NMT1, MAPK8, BAX, RALA, BCS1L, MAIP1, CALM3, AP3B1"
"GO:0110154",0.000978963583229818,6.13208707416062,8.09160642348656,15,18,"RNA decapping","NUDT3, DCP2, DXO, DCP1B, PATL1, EDC4, NOCT, LSM1, DCPS, CNOT7, DCP1A, EIF4ENIF1, ZFP36, EDC3, NUDT12"
"GO:0043968",0.000241221343992043,5.82776547311431,10.3392748744551,19,23,"histone H2A acetylation","KAT5, RUVBL2, BRD8, MORF4L1, MSL3, EPC2, ING3, MBTD1, MRGBP, DMAP1, EP400, MEAF6, VPS72, NAA40, EPC1, YEATS4, ACTL6A, RUVBL1, MORF4L2"
"GO:0006622",6.05060991436005e-05,5.64594361689031,12.5869433254235,23,28,"protein targeting to lysosome","CLU, ATG14, GGA3, AP3M1, VPS4A, HSPA8, LAMP2, M6PR, NAGPA, PIK3C3, SORT1, SORL1, LAPTM5, RAB7A, GNPTAB, NCOA4, GNPTG, AP3B1, BECN1, HGS, SCARB2, GCC2, ZFYVE16"
"GO:0071539",0.000444885214180628,5.5246921182266,9.8854839600243,18,22,"protein localization to centrosome","PIBF1, DCTN2, SPAG5, CSNK1D, MAPRE1, CEP131, NUDCD3, C2CD3, DISC1, GOLGB1, SNX10, PCM1, CEP83, CEP192, CCDC14, STIL, HOOK3, CEP350"
"GO:0032446",0.000147820719580735,5.33032258064516,11.4725376593279,21,26,"protein modification by small protein conjugation","ATG7, COPS6, COPS5, UBE2F, COPS9, EPAS1, MOCS3, GPS1, HIF1A, CTU2, COPS7A, COPS4, UFC1, COPS7B, DDRGK1, UBA5, COPS3, NAE1, CTU1, UBA3, COPS2"
"GO:0006890",6.84232707292925e-08,5.28810317166482,23.825285580266,43,53,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","ATP9A, KIF1C, KDELR1, LMAN2, TMED10, KDELR2, KDELR3, RER1, COPE, COPA, COPZ1, SCFD1, BICD2, COG4, COPG2, HTT, ARCN1, ATP9B, ARF3, ARF4, ARF5, COPZ2, BET1L, ERGIC2, RAB6B, NBAS, ERGIC3, STX18, GOLPH3L, USE1, ERGIC1, SCYL1, RAB6A, RINT1, GOLPH3, BNIP1, TAPBP, UVRAG, PLPP3, ZW10, COG7, COPB2, PICK1"
"GO:0090141",0.000824076726087545,5.2130335834666,9.44020749406766,17,21,"positive regulation of mitochondrial fission","DNM1L, RALBP1, PGAM5, DDHD2, PRKN, FIS1, MIEF1, MARCHF5, VPS35, SPIRE1, MFF, RALA, PINK1, BNIP3, MUL1, DDHD1, MCU"
"GO:0098780",0.000824076726087545,5.2130335834666,9.44020749406766,17,21,"response to mitochondrial depolarisation","HDAC6, HUWE1, OPTN, ATG14, GBA1, HTRA2, HK2, PRKN, TOMM7, VPS13C, PINK1, VDAC1, MUL1, BECN1, SQSTM1, ATP5IF1, ATG13"
"GO:0150105",0.000824076726087545,5.2130335834666,9.44020749406766,17,21,"protein localization to cell-cell junction","MPP7, DSP, ARHGEF18, SCRIB, TJP3, ILDR1, JAK1, PAK2, LSR, PECAM1, ZDHHC7, MAPK9, TJP1, VCL, CGNL1, DLG5, TJP2"
